episode,reward,avg_latency_us,deadline_misses,deadline_miss_rate,epsilon
1,-10.9139,6287.06,5,0.5,0.995
2,0.4624,4880.48,3,0.3,0.99
3,4.5395,5824.4,2,0.2,0.9851
4,-5.707,6084.16,4,0.4,0.9801
5,0.0092,5348.88,3,0.3,0.9752
6,-15.9812,6395.92,6,0.6,0.9704
7,5.4507,4876.72,2,0.2,0.9655
8,-6.2837,6702.08,4,0.4,0.9607
9,-5.5836,5958.78,4,0.4,0.9559
10,5.1877,5122.54,2,0.2,0.9511
11,-4.9052,5247.94,4,0.4,0.9464
12,5.3934,4939.34,2,0.2,0.9416
13,-5.3589,5718.22,4,0.4,0.9369
14,10.4224,4889.02,1,0.1,0.9322
15,-5.0001,5366.46,4,0.4,0.9276
16,4.7033,5679.14,2,0.2,0.9229
17,-0.8459,6233.08,3,0.3,0.9183
18,5.5804,4764.4,2,0.2,0.9137
19,-1.0334,6443.04,3,0.3,0.9092
20,4.482,5909.7,2,0.2,0.9046
21,-10.6643,6064.22,5,0.5,0.9001
22,-0.9386,6324.54,3,0.3,0.8956
23,-5.8933,6281.34,4,0.4,0.8911
24,3.9936,6442.54,2,0.2,0.8867
25,-0.4567,5814.44,3,0.3,0.8822
26,9.5302,5827.28,1,0.1,0.8778
27,-9.4301,4720.72,5,0.5,0.8734
28,4.6753,5676.84,2,0.2,0.8691
29,5.429,4918.28,2,0.2,0.8647
30,-1.012,6424.28,3,0.3,0.8604
31,-0.2972,5692.52,3,0.3,0.8561
32,0.1927,5150.72,3,0.3,0.8518
33,0.1269,5201.72,3,0.3,0.8475
34,4.971,5369.54,2,0.2,0.8433
35,-1.1482,6597.2,3,0.3,0.8391
36,0.3098,5045.92,3,0.3,0.8349
37,-6.2367,6639.64,4,0.4,0.8307
38,-1.2572,6684.28,3,0.3,0.8266
39,0.0952,5233.3,3,0.3,0.8224
40,-11.6633,7094.06,5,0.5,0.8183
41,4.4532,5948.56,2,0.2,0.8142
42,-10.6251,6023.62,5,0.5,0.8102
43,0.5116,4787.84,3,0.3,0.8061
44,-5.0556,5441.54,4,0.4,0.8021
45,-5.6353,6038.08,4,0.4,0.7981
46,6.2027,4089.96,2,0.2,0.7941
47,-0.4191,5784.02,3,0.3,0.7901
48,-6.0133,6394.02,4,0.4,0.7862
49,4.1872,6205.58,2,0.2,0.7822
50,4.6736,5665.26,2,0.2,0.7783
51,-1.0738,6463.22,3,0.3,0.7744
52,-6.3007,6678.92,4,0.4,0.7705
53,-0.038,5365.58,3,0.3,0.7667
54,-6.0543,6443.9,4,0.4,0.7629
55,4.7075,5651.62,2,0.2,0.759
56,9.7476,5613.74,1,0.1,0.7553
57,5.3916,4922.06,2,0.2,0.7515
58,10.4248,4935.02,1,0.1,0.7477
59,-10.2807,5653.4,5,0.5,0.744
60,-5.6819,6080.4,4,0.4,0.7403
61,0.0947,5277.72,3,0.3,0.7366
62,-0.7836,6198.0,3,0.3,0.7329
63,3.828,6576.12,2,0.2,0.7292
